EMPLEADO;ZONARUTA;RAZONSOC;DIRECCION;CODIGOCLI;FECHAMOV;ENTREGAS;DEVOLUCION;FALTANTES;SOBRANTES;VALORUNITA;COBRADO;VALORFEC;VALORCOM;NOMPU;FEPAGO
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;20/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;21/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;22/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;23/01/11;2;0;0;0;2050;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;24/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;25/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;26/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;27/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;21/01/11;4;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
ALEXANDER DURANGO GARCIA;ZC002;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;22/01/11;2;0;0;0;960;0;0;0;LA PATRIA;09/03/2011
