EMPLEADO,C,46;ZONARUTA,C,5;NOMBRE,C,20;ORDCOB,N,4,0;RAZONSOC,C,35;DIRECCION,C,30;CODIGOCLI,C,8;FORMAPAG,C,1;NUMEROF,N,8,0;FECHAMOV,D;ENTREGAS,N,5,0;DEVOLUCION,N,5,0;FALTANTES,N,5,0;VALORUNITA,N,12,2;FEPAGO,D;CODIGOPU,C,3;NOMPU,C,15
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;20/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;21/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;22/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;23/01/11;2;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;24/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1500;DROGUERIA PERALONSO;CR 11C #46 18;DROPER01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;21/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;22/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;23/01/11;4;;;2050;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;24/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;25/01/11;4;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;26/01/11;2;;;960;;PAT;LA PATRIA
ALEXANDER DURANGO GARCIA;ZC002;ZONA COBRO 2;1700;AUTOSERVICIO  ALTO CAMPOHERMO;CR 13A #12A 54;AUTALT01;C;;27/01/11;2;;;960;;PAT;LA PATRIA
